customer_id,signup_date,segment,country,is_enterprise
C0001,2023-01-04,Enterprise,IN,True
C0002,2023-01-14,SMB,CA,False
C0003,2023-01-04,SMB,IN,False
C0004,2023-03-19,SMB,CA,False
C0005,2023-03-25,,IN,False
C0006,2023-02-05,SMB,IN,False
C0007,2023-02-13,Enterprise,IN,True
C0008,2023-02-13,SMB,US,False
C0009,2023-02-15,Enterprise,CA,True
C0010,2023-01-06,,CA,False
C0011,2023-02-18,SMB,CA,False
C0012,2023-03-22,Enterprise,CA,True
C0013,2023-01-09,SMB,AU,False
C0014,2023-02-07,SMB,IN,False
C0015,2023-02-18,Enterprise,DE,True
C0016,2023-02-16,Mid-Market,UK,False
C0017,2023-03-27,Enterprise,AU,True
C0018,2023-03-24,SMB,CA,False
C0019,2023-03-10,Mid-Market,IN,False
C0020,2023-02-04,Mid-Market,AU,False
C0021,2023-01-08,Mid-Market,US,False
C0022,2023-02-21,Enterprise,US,True
C0023,2023-03-14,Enterprise,IN,True
C0024,2023-02-20,,IN,False
C0025,2023-02-01,Enterprise,AU,True
C0026,2023-03-16,,UK,False
C0027,2023-01-18,,US,False
C0028,2023-01-15,Mid-Market,AU,False
C0029,2023-03-29,,CA,False
C0030,2023-02-18,,CA,False
C0031,2023-03-12,SMB,AU,False
C0032,2023-03-29,Enterprise,AU,True
C0033,2023-02-07,,IN,False
C0034,2023-02-03,Mid-Market,CA,False
C0035,2023-03-22,Enterprise,AU,True
C0036,2023-01-26,Mid-Market,UK,False
C0037,2023-03-11,SMB,CA,False
C0038,2023-01-03,SMB,UK,False
C0039,2023-02-09,Mid-Market,US,False
C0040,2023-03-14,SMB,US,False
C0041,2023-01-09,Mid-Market,IN,False
C0042,2023-03-12,Mid-Market,UK,False
C0043,2023-03-19,,IN,False
C0044,2023-03-30,Mid-Market,AU,False
C0045,2023-03-27,Enterprise,DE,True
C0046,2023-02-27,SMB,IN,False
C0047,2023-02-13,SMB,CA,False
C0048,2023-03-17,Mid-Market,US,False
C0049,2023-03-22,SMB,IN,False
C0050,2023-01-05,Enterprise,US,True
C0051,2023-02-05,,IN,False
C0052,2023-03-15,,IN,False
C0053,2023-02-22,Mid-Market,US,False
C0054,2023-02-25,Enterprise,DE,True
C0055,2023-01-07,SMB,US,False
C0056,2023-02-13,SMB,IN,False
C0057,2023-03-10,,IN,False
C0058,2023-02-05,,IN,False
C0059,2023-01-10,,CA,False
C0060,2023-03-25,SMB,US,False
C0061,2023-01-31,Mid-Market,DE,False
C0062,2023-01-28,,US,False
C0063,2023-01-01,,UK,False
C0064,2023-02-28,Enterprise,DE,True
C0065,2023-03-13,,IN,False
C0066,2023-01-28,SMB,CA,False
C0067,2023-01-08,Enterprise,US,True
C0068,2023-03-03,Mid-Market,US,False
C0069,2023-01-11,Mid-Market,US,False
C0070,2023-03-28,Mid-Market,DE,False
C0071,2023-03-14,Mid-Market,CA,False
C0072,2023-03-21,SMB,DE,False
C0073,2023-03-14,Enterprise,UK,True
C0074,2023-02-10,Mid-Market,UK,False
C0075,2023-03-27,Enterprise,DE,True
C0076,2023-01-10,SMB,DE,False
C0077,2023-03-14,SMB,US,False
C0078,2023-03-06,Enterprise,IN,True
C0079,2023-01-09,Mid-Market,UK,False
C0080,2023-02-26,Enterprise,CA,True
C0081,2023-03-25,SMB,AU,False
C0082,2023-02-08,SMB,IN,False
C0083,2023-01-14,Mid-Market,UK,False
C0084,2023-01-27,Enterprise,IN,True
C0085,2023-02-03,,UK,False
C0086,2023-01-07,SMB,AU,False
C0087,2023-02-05,SMB,US,False
C0088,2023-01-17,Enterprise,IN,True
C0089,2023-03-12,,CA,False
C0090,,SMB,AU,False
C0091,2023-03-11,SMB,UK,False
C0092,2023-01-19,,IN,False
C0093,,Enterprise,US,True
C0094,2023-01-27,Mid-Market,AU,False
C0095,2023-03-13,,CA,False
C0096,2023-01-31,Mid-Market,IN,False
C0097,2023-01-04,Mid-Market,AU,False
C0098,2023-02-22,Mid-Market,UK,False
C0099,2023-03-31,SMB,DE,False
C0100,2023-03-02,Mid-Market,IN,False
C0101,2023-02-28,Enterprise,UK,True
C0102,2023-01-30,Mid-Market,US,False
C0103,2023-02-21,Enterprise,UK,True
C0104,2023-02-05,Enterprise,AU,True
C0105,2023-03-28,Enterprise,US,True
C0106,2023-02-03,Mid-Market,CA,False
C0107,2023-02-03,SMB,US,False
C0108,2023-02-14,Enterprise,DE,True
C0109,2023-03-07,SMB,DE,False
C0110,2023-01-25,Enterprise,US,True
C0111,2023-01-01,Mid-Market,UK,False
C0112,2023-03-27,Enterprise,CA,True
C0113,2023-01-16,Enterprise,CA,True
C0114,2023-02-22,Enterprise,DE,True
C0115,2023-03-12,Mid-Market,IN,False
C0116,2023-02-18,Mid-Market,CA,False
C0117,2023-02-21,SMB,UK,False
C0118,2023-02-25,Enterprise,DE,True
C0119,2023-03-28,Mid-Market,CA,False
C0120,2023-01-22,SMB,UK,False
C0121,2023-03-23,Enterprise,US,True
C0122,2023-01-31,Enterprise,IN,True
C0123,2023-01-19,SMB,US,False
C0124,2023-03-02,SMB,DE,False
C0125,2023-03-22,Mid-Market,AU,False
C0126,2023-03-05,,IN,False
C0127,2023-03-30,SMB,US,False
C0128,2023-01-29,Mid-Market,AU,False
C0129,2023-01-07,Mid-Market,US,False
C0130,2023-03-01,Enterprise,DE,True
C0131,2023-03-06,,CA,False
C0132,2023-01-21,,DE,False
C0133,2023-02-01,Enterprise,CA,True
C0134,2023-01-31,Enterprise,DE,True
C0135,2023-02-06,Mid-Market,UK,False
C0136,2023-03-11,SMB,IN,False
C0137,2023-02-19,Mid-Market,AU,False
C0138,2023-02-23,,UK,False
C0139,2023-02-23,SMB,IN,False
C0140,2023-02-19,SMB,CA,False
C0141,2023-01-01,Enterprise,UK,True
C0142,2023-02-23,Mid-Market,DE,False
C0143,2023-02-25,,US,False
C0144,2023-03-27,,AU,False
C0145,2023-03-01,Mid-Market,CA,False
C0146,2023-02-20,SMB,US,False
C0147,2023-01-18,,IN,False
C0148,2023-02-18,Enterprise,IN,True
C0149,2023-02-13,,UK,False
C0150,2023-02-23,Enterprise,US,True
C0151,2023-03-11,SMB,UK,False
C0152,2023-01-09,SMB,US,False
C0153,2023-01-26,SMB,CA,False
C0154,2023-01-17,,AU,False
C0155,2023-01-28,,AU,False
C0156,2023-02-17,Mid-Market,CA,False
C0157,2023-01-15,Mid-Market,UK,False
C0158,2023-01-04,Enterprise,CA,True
C0159,2023-02-18,,AU,False
C0160,2023-03-17,Mid-Market,US,False
C0161,2023-02-08,SMB,CA,False
C0162,2023-02-14,,AU,False
C0163,2023-03-06,Enterprise,US,True
C0164,2023-03-04,SMB,DE,False
C0165,2023-03-23,,AU,False
C0166,2023-01-23,Enterprise,CA,True
C0167,2023-03-10,,DE,False
C0168,2023-03-17,Enterprise,UK,True
C0169,2023-01-12,Enterprise,DE,True
C0170,2023-03-01,,UK,False
C0171,,Enterprise,IN,True
C0172,2023-02-15,Enterprise,UK,True
C0173,2023-03-18,Enterprise,CA,True
C0174,,Mid-Market,US,False
C0175,2023-02-22,,CA,False
C0176,2023-03-30,,AU,False
C0177,2023-02-27,SMB,US,False
C0178,2023-02-21,Mid-Market,UK,False
C0179,2023-02-17,,CA,False
C0180,2023-02-24,Enterprise,UK,True
C0181,2023-02-04,Enterprise,UK,True
C0182,2023-01-25,Enterprise,US,True
C0183,2023-03-30,Mid-Market,IN,False
C0184,2023-03-03,Enterprise,AU,True
C0185,2023-03-09,Enterprise,US,True
C0186,2023-02-07,Mid-Market,UK,False
C0187,2023-01-02,Mid-Market,UK,False
C0188,,SMB,CA,False
C0189,2023-01-17,,US,False
C0190,2023-03-15,Enterprise,DE,True
C0191,2023-02-13,Mid-Market,US,False
C0192,2023-03-03,SMB,US,False
C0193,2023-01-10,SMB,IN,False
C0194,2023-03-14,Enterprise,US,True
C0195,2023-01-16,,CA,False
C0196,2023-03-21,Mid-Market,CA,False
C0197,2023-02-26,Enterprise,CA,True
C0198,2023-02-09,SMB,CA,False
C0199,2023-01-13,Mid-Market,AU,False
C0200,2023-03-26,SMB,IN,False
C0201,2023-03-12,SMB,IN,False
C0202,,,AU,False
C0203,2023-02-07,SMB,IN,False
C0204,2023-02-06,,US,False
C0205,2023-02-03,Mid-Market,DE,False
C0206,2023-01-29,Mid-Market,UK,False
C0207,2023-01-10,SMB,IN,False
C0208,2023-03-18,Enterprise,DE,True
C0209,2023-03-30,Enterprise,AU,True
C0210,2023-02-04,,DE,False
C0211,2023-01-06,,AU,False
C0212,2023-02-02,SMB,US,False
C0213,2023-03-28,SMB,AU,False
C0214,2023-03-15,SMB,IN,False
C0215,2023-03-25,,UK,False
C0216,2023-03-16,,AU,False
