event_id,customer_id,event_type,event_date,source
E000001,C0001,signup,2023-03-10,organic
E000002,C0001,signup,2023-03-10,organic
E000003,C0002,signup,2023-03-27,ads
E000004,C0002,trial_start,2023-03-28,ads
E000005,C0003,signup,2023-02-19,referral
E000006,C0004,signup,2023-01-16,ads
E000007,C0005,signup,2023-01-03,outbound
E000008,C0005,trial_start,2023-01-04,outbound
E000009,C0005,churned,2023-04-21,outbound
E000010,C0006,signup,2023-01-29,referral
E000011,C0006,trial_start,2023-01-30,referral
E000012,C0006,activated,2023-02-02,referral
E000013,C0007,signup,2023-01-01,outbound
E000014,C0008,signup,2023-03-14,referral
E000015,C0008,trial_start,2023-03-15,referral
E000016,C0008,activated,2023-03-20,referral
E000017,C0009,signup,2023-01-09,outbound
E000018,C0009,churned,2023-04-21,outbound
E000019,C0010,signup,2023-03-08,outbound
E000020,C0010,trial_start,2023-03-09,outbound
E000021,C0010,churned,2023-07-04,outbound
E000022,C0011,signup,2023-03-29,referral
E000023,C0011,trial_start,2023-03-30,referral
E000024,C0012,signup,2023-02-11,ads
E000025,C0013,signup,2023-03-05,organic
E000026,C0014,signup,2023-01-07,outbound
E000027,C0014,trial_start,2023-01-08,outbound
E000028,C0014,activated,2023-01-09,outbound
E000029,C0015,signup,2023-01-11,referral
E000030,C0016,signup,2023-03-30,outbound
E000031,C0016,trial_start,2023-03-31,outbound
E000032,C0016,activated,2023-04-02,outbound
E000033,C0017,signup,2023-03-22,ads
E000034,C0017,trial_start,2023-03-23,ads
E000035,C0017,activated,2023-03-24,ads
E000036,C0018,signup,2023-02-02,referral
E000037,C0018,trial_start,2023-02-03,referral
E000038,C0019,signup,2023-03-08,referral
E000039,C0020,signup,2023-01-13,organic
E000040,C0020,trial_start,2023-01-14,organic
E000041,C0020,activated,2023-01-15,organic
E000042,C0021,signup,2023-02-10,organic
E000043,C0021,trial_start,2023-02-11,organic
E000044,C0021,churned,2023-05-07,organic
E000045,C0022,signup,2023-02-08,ads
E000046,C0022,trial_start,2023-02-09,ads
E000047,C0022,activated,2023-02-10,ads
E000048,C0023,signup,2023-02-18,referral
